variant,doors,policy,iterations,exact_p,mae,rmse,q10,q50,q90
banana,3,Stick,30,0.3333333333333333,0.06783333333333333,0.08537498983243798,0.23333333333333334,0.3333333333333333,0.43333333333333335
banana,3,Stick,100,0.3333333333333333,0.0375,0.046448298617327674,0.28,0.33,0.39100000000000024
banana,3,Stick,300,0.3333333333333333,0.023500000000000007,0.02884537320881038,0.2963333333333334,0.33666666666666667,0.37
banana,3,Stick,1000,0.3333333333333333,0.010872499999999992,0.013526465827324504,0.314,0.331,0.348
banana,3,Stick,3000,0.3333333333333333,0.0066608333333333354,0.008439013238788314,0.32266666666666666,0.33266666666666667,0.3433333333333333
banana,3,Stick,10000,0.3333333333333333,0.0036387499999999975,0.0046701840910658345,0.32749,0.3329,0.33901000000000003
banana,3,Stick,30000,0.3333333333333333,0.002155416666666668,0.002743163725012094,0.32999666666666666,0.3333,0.33690666666666663
banana,3,Stick,100000,0.3333333333333333,0.0011757499999999995,0.0014879573059884618,0.33127700000000004,0.33331,0.335142
banana,3,Random Switch,10,0.3333333333333333,0.11283333333333333,0.14169607537888187,0.2,0.3,0.5
banana,3,Random Switch,30,0.3333333333333333,0.06858333333333333,0.08503267345882731,0.23333333333333334,0.3333333333333333,0.43333333333333335
banana,3,Random Switch,100,0.3333333333333333,0.042008333333333335,0.0526278865663865,0.27,0.34,0.4
banana,3,Random Switch,300,0.3333333333333333,0.02104166666666667,0.026758695367632885,0.2966666666666667,0.3333333333333333,0.36666666666666664
banana,3,Random Switch,1000,0.3333333333333333,0.012045833333333329,0.01526134368629155,0.314,0.333,0.354
banana,3,Random Switch,3000,0.3333333333333333,0.0069966666666666675,0.00868286946937602,0.32133333333333336,0.3323333333333333,0.3447
banana,3,Random Switch,10000,0.3333333333333333,0.0036349166666666665,0.004456740525441334,0.3275,0.3333,0.3394
banana,3,Random Switch,30000,0.3333333333333333,0.0021735833333333325,0.002678840441517767,0.3297966666666666,0.3332,0.33677
banana,3,Random Switch,100000,0.3333333333333333,0.0011603833333333332,0.001442746551238681,0.33144900000000005,0.333345,0.335241
banana,6,Stick,10,0.16666666666666666,0.09475,0.11748522365718074,0.0,0.2,0.3
banana,6,Stick,30,0.16666666666666666,0.054833333333333324,0.06887992773257275,0.09666666666666686,0.16666666666666666,0.26666666666666666
banana,6,Stick,100,0.16666666666666666,0.03001666666666666,0.037057762719540664,0.12,0.16,0.21
banana,6,Stick,300,0.16666666666666666,0.016866666666666665,0.020571015207487126,0.14,0.16333333333333333,0.19333333333333333
banana,6,Stick,1000,0.16666666666666666,0.009609166666666667,0.011809541810662164,0.1519,0.167,0.182
banana,6,Stick,3000,0.16666666666666666,0.005326666666666667,0.006623820649745885,0.15863333333333335,0.16666666666666666,0.17566666666666667
banana,6,Stick,10000,0.16666666666666666,0.0029785000000000002,0.0036948176920895267,0.1611,0.16645,0.171
banana,6,Stick,30000,0.16666666666666666,0.0017207500000000003,0.002193237713214568,0.16386333333333333,0.16668333333333332,0.1693
banana,6,Stick,100000,0.16666666666666666,0.0009162083333333338,0.0011372301267162735,0.165178,0.16667,0.168141
banana,6,Random Switch,10,0.16666666666666666,0.09475,0.11612971674429898,0.0,0.2,0.3
banana,6,Random Switch,30,0.16666666666666666,0.057833333333333334,0.07203394261658103,0.06666666666666667,0.16666666666666666,0.26666666666666666
banana,6,Random Switch,100,0.16666666666666666,0.029683333333333332,0.036550573790905726,0.12,0.17,0.21
banana,6,Random Switch,300,0.16666666666666666,0.01795,0.02240907554243741,0.13666666666666666,0.16333333333333333,0.19333333333333333
